year,month,sample,site,fathead,stickleback,iowadarter,perch,carp,bullhead,sunfish,ftotal,wetlandh,trap,fish.hr.t,wrap,treatment
2015,June,15_1_June,Beck,148,0,1,0,0,1,0,150,24,3,2.083333333,72,C
2015,June,15_1_June,Buffalo Lake,0,0,0,0,0,0,0,0,48,3,0,67.5,C
2015,June,15_1_June,Eriksrud,0,305,149,0,0,0,0,454,24,3,6.305555556,68,T
2015,June,15_1_June,Fods Slough,0,0,0,0,0,0,0,0,48,3,0,65,S
2015,June,15_1_June,Gerdink,0,0,0,0,0,0,0,0,24,3,0,47.5,T
2015,June,15_1_June,Habeger,0,1,0,0,0,0,0,1,48,3,0.006944444,60,T
2015,June,15_1_June,Healy Slough,68,3,0,0,0,2,2,75,24,3,1.041666667,70,S
2015,June,15_1_June,Lake Vermillion,0,0,0,0,0,0,0,0,24,3,0,74,C
2015,June,15_1_June,Lost Lake,0,0,0,0,0,0,0,0,24,3,0,71.5,C
2015,June,15_1_June,Petri II,0,0,0,0,0,0,0,0,48,3,0,61,T
2015,June,15_1_June,Pettigrew,0,0,0,0,0,0,0,0,48,3,0,74.5,C
2015,June,15_1_June,Pittenger,21,60,0,0,0,0,0,81,24,3,1.125,74.5,C
2015,June,15_1_June,Ramsey,0,0,0,0,0,0,0,0,24,3,0,64.5,S
2015,June,15_1_June,Schaefer,68,0,0,0,0,0,0,68,48,3,0.472222222,63.5,S
2015,June,15_1_June,Swartz,0,0,0,0,0,0,0,0,48,3,0,56,T
2015,June,15_1_June,Volker,0,0,0,0,0,0,0,0,24,3,0,61,T
2015,June,15_1_June,Ziegler,70,42,62,0,0,1,1,176,24,3,2.444444444,63.5,S
2015,July,15_2_July,Beck,1,0,0,0,0,0,0,1,24,2,0.020833333,73,C
2015,July,15_2_July,Eriksrud,0,1,0,0,0,0,0,1,24,2,0.020833333,64.5,T
2015,July,15_2_July,Fods Slough,0,0,0,0,0,0,0,0,24,2,0,66,S
2015,July,15_2_July,Habeger,116,0,0,0,0,0,0,116,48,2,1.208333333,63.5,T
2015,July,15_2_July,Healy Slough,3,0,0,0,0,0,2,5,24,2,0.104166667,72,S
2015,July,15_2_July,Petri II,0,0,0,0,0,0,0,0,24,2,0,63.5,T
2015,July,15_2_July,Pittenger,0,10,211,0,0,0,0,221,24,2,4.604166667,82,C
2015,July,15_2_July,Ramsey,0,0,0,0,0,0,0,0,48,2,0,55.5,S
2015,July,15_2_July,Schaefer,281,0,0,0,0,1,0,282,48,2,2.9375,59,S
2015,July,15_2_July,Swartz,2,0,1,0,7,0,0,10,48,2,0.104166667,59.5,T
2015,July,15_2_July,Volker,0,0,0,0,0,0,0,0,24,2,0,61.5,T
2015,July,15_2_July,Ziegler,0,15,16,0,0,0,0,31,24,2,0.645833333,67,S
2016,May,16_1_May,Beck,0,0,0,0,0,0,0,0,24.25,6,0,74.5,C
2016,May,16_1_May,Eriksrud,1,0,0,0,0,0,1,2,24.65,6,0.01352265,67.5,T
2016,May,16_1_May,Fods Slough,0,0,0,0,0,0,0,0,31.43,6,0,65,S
2016,May,16_1_May,Gerdink,13,2,0,0,0,0,0,15,27.33,6,0.09147457,48,T
2016,June,16_1_May,Habeger I,1,2,0,0,0,0,0,3,23.5,5,0.025531915,61.5,T
2016,May,16_1_May,Habeger II,22,0,0,0,0,0,0,22,20.95,4,0.262529833,61.5,T
2016,May,16_1_May,Healy Slough,1,0,0,0,0,0,0,1,25.58,6,0.006515507,67,S
2016,May,16_1_May,Petri II,253,0,0,0,0,0,0,253,29.25,6,1.441595442,60,T
2016,May,16_1_May,Pittenger,0,0,0,0,0,0,0,0,22.75,6,0,80,C
2016,May,16_1_May,Ramsey,222,2,0,0,0,0,0,224,24.75,6,1.508417508,56.5,S
2016,May,16_1_May,Schaefer,333,0,0,0,0,0,0,333,28.08,6,1.976495726,61,S
2016,May,16_1_May,Swartz,280,0,0,0,0,0,0,280,21,6,2.222222222,56.5,T
2016,May,16_1_May,Ziegler,20,2,1,0,0,0,1,24,22,6,0.181818182,65.5,S
2016,June,16_2_June,Beck,0,0,0,0,0,1,0,1,24.23,6,0.006878525,76,C
2016,June,16_2_June,Buffalo Lake,0,17,0,0,0,0,0,17,22,6,0.128787879,73,C
2016,June,16_2_June,Eriksrud,34,50,36,0,0,0,0,120,23.75,6,0.842105263,67,T
2016,June,16_2_June,Fods Slough I,0,0,0,1,0,0,0,1,31.5,3,0.010582011,64,S
2016,June,16_2_June,Fods Slough II,0,0,0,10,0,3,0,13,22.5,5,0.115555556,64,S
2016,June,16_2_June,Gerdink,8,231,0,0,0,0,1,240,18.58,6,2.15285253,50.5,T
2016,June,16_2_June,Habeger,47,198,0,0,0,0,0,245,19.15,6,2.132288947,62,T
2016,June,16_2_June,Healy Slough,138,349,15,0,0,0,3,505,23.42,6,3.593794478,69,S
2016,June,16_2_June,Petri II,235,0,0,0,0,0,0,235,29.83,6,1.312995865,59,T
2016,June,16_2_June,Pittenger,0,72,0,0,0,0,0,72,18.92,6,0.634249471,79.5,C
2016,June,16_2_June,Ramsey,676,0,2,0,0,0,0,678,18.53,6,6.098219104,61.5,S
2016,June,16_2_June,Schaefer,192,0,0,0,0,1,0,193,26.75,6,1.202492212,62.5,S
2016,June,16_2_June,Swartz I,24,13,26,0,35,0,0,98,23.87,6,0.684261975,60.5,T
2016,June,16_2_June,Swartz II,26,0,2,0,4,0,0,32,23.17,4,0.345274061,60.5,T
2016,June,16_2_June,Ziegler,16,246,7,0,0,21,2,292,20.27,6,2.400920901,64,S
2016,July,16_3_July,Beck,0,2,0,0,0,1,0,3,19.37,6,0.025813113,71.5,C
2016,July,16_3_July,Buffalo Lake,0,93,0,0,0,0,0,93,21,6,0.738095238,75.5,C
2016,July,16_3_July,Eriksrud,3,10,0,0,0,0,0,13,19.62,6,0.110431532,66.5,T
2016,July,16_3_July,Fods Slough,0,0,0,1,0,0,0,1,24.58,6,0.00678058,63.5,S
2016,July,16_3_July,Gerdink,0,0,0,0,0,0,0,0,18.05,6,0,47,T
2016,July,16_3_July,Habeger,104,4,0,0,0,0,0,108,25.2,6,0.714285714,65,T
2016,July,16_3_July,Petri II,456,0,0,0,0,0,0,456,21.92,6,3.467153285,54.5,T
2016,July,16_3_July,Pittenger,0,27,0,0,0,0,0,27,14,6,0.321428571,79.5,C
2016,July,16_3_July,Ramsey,25,0,2,0,0,1,14,42,18.92,6,0.369978858,61,S
2016,July,16_3_July,Schaefer,10,0,0,0,0,0,0,10,22.9,6,0.072780204,62,S
2016,July,16_3_July,Swartz I,16,3,4,0,19,0,0,42,21.82,6,0.320806599,61.5,T
2016,July,16_3_July,Swartz II,26,6,6,0,8,0,0,46,21.83,6,0.351198656,61.5,T
2016,July,16_3_July,Volker,0,0,0,0,0,0,0,0,21.68,6,0,56.5,T
2016,July,16_3_July,Ziegler,3,0,0,0,0,0,0,3,15,6,0.033333333,71,S
