AeshniOdoHex,AmpMal,BelostHemHex,CaenidEphHex,CambarDecMal,CeratoDipHex,ChaoboDipHex,ChironDipHex,CoenagOdoHex,Cop,CordulOdoHex,CorixiHemHex,CurculColHex,DytiscColHex,EphydrDipHex,HaliplColHex,HebridHemHex,Hir,HydAra,HydropColHex,IsonycEphHex,IsotomColHex,LibellOdoHex,LimnepTriHex,LymnaeProGas,NotoneHemHex,Oli,PhysidProGas,PlanorPulGas,PleidaHemHex,PodOst,StratiDipHex,VeliidHemHex
0,0,0,0,0,0,0,61,2,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,30,6,2,0,2,0,278,0,0
0,0,0,0,0,0,0,147,1,8,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,5,42,0,3,0,224,0,0
1,0,0,0,0,0,0,132,7,9,0,1,0,0,5,2,0,0,0,2,0,0,0,0,38,13,2,0,12,0,21,0,0
0,0,0,0,0,2,0,130,3,13,0,3,1,0,1,1,0,0,0,5,0,0,0,0,131,17,0,0,27,0,625,0,0
0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,13,5,0,0,0,0
2,0,0,12,0,0,0,22,0,0,0,22,0,3,0,5,0,0,14,0,4,0,0,4,1,0,0,19,42,0,0,0,0
0,12,0,17,0,0,0,5,1,0,0,24,0,9,0,4,0,0,18,0,1,0,0,0,1,1,1,17,52,0,0,0,0
1,3,0,13,0,0,0,18,0,2,0,10,0,5,0,1,0,0,1,0,8,0,0,0,0,0,0,14,29,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,61,0,22,0,0
1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,74,0,13,0,0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,26,134,1,48,0,0
0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,0,6,0,0
0,347,0,5,0,2,0,42,2,0,0,15,0,7,5,0,0,1,5,2,0,0,0,0,3,9,0,4,540,1,5,0,0
0,74,0,3,0,0,0,62,3,0,0,21,0,1,4,0,0,0,4,2,0,0,0,0,1,4,0,6,671,8,5,0,0
0,222,0,45,0,0,0,0,0,0,0,47,0,12,1,1,0,0,4,0,0,0,0,0,5,11,0,11,1972,3,13,0,0
1,99,0,16,0,0,0,153,3,0,0,26,0,1,2,4,0,19,3,0,4,1,0,0,0,0,0,4,2103,10,6,0,0
0,0,0,0,0,0,0,29,10,14,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,101,8,1,2,0,0
0,1,0,0,0,0,0,10,17,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,61,12,5,0,0,0
0,2,0,1,0,3,0,20,10,30,0,8,0,7,0,1,0,0,0,8,1,0,0,0,5,5,0,377,45,0,22,0,0
0,2,0,0,0,2,0,215,5,0,0,245,0,3,0,1,0,0,0,7,3,0,0,0,1,7,0,113,68,0,7,0,0
0,27,0,0,0,0,0,7,2,0,0,26,0,1,0,3,0,0,0,0,4,0,0,0,1,0,0,14,336,0,4,0,0
0,0,0,0,0,0,0,2,2,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,205,201,0,0,0,0
1,0,0,0,0,0,0,1,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,125,88,1,4,0,1
0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,1,3,2,0,0,0,2,1,0,49,83,0,3,0,0
0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,69,249,0,2,0,0
0,2,0,0,0,0,19,14,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,38,0,1,2,0
0,9,0,3,1,0,2,28,4,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,27,53,2,0,3,0
0,104,0,2,1,0,20,2,14,1,0,0,0,0,0,2,0,0,0,0,22,0,0,0,2,0,0,5,9,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,3,10,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,33,0,0,0,1,0,0,4,0,0,0,0,0,17,0,0,4,18,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,36,0,0,5,35,0,0,0,0
0,30,0,1,0,0,0,12,0,0,0,24,0,0,0,0,0,1,5,0,1,0,0,0,4,0,0,3,27,1,0,0,0
0,2,0,0,0,4,0,10,4,2,0,17,0,1,0,0,0,2,1,1,0,0,0,0,2,0,1,94,65,0,12,0,0
1,11,0,1,0,7,0,11,5,3,0,25,0,2,0,0,0,0,1,0,1,0,0,0,1,6,0,21,8,0,22,0,0
0,8,0,0,0,3,0,71,1,41,0,10,0,7,0,1,5,1,3,0,2,0,0,0,13,3,1,85,42,0,291,0,0
0,1,0,0,0,0,0,12,2,4,0,67,0,2,0,2,0,0,0,0,6,0,0,0,5,3,0,40,36,0,23,0,0
0,10,0,1,0,0,0,2,3,0,0,109,0,1,0,0,0,0,1,0,0,0,0,0,12,0,0,89,113,0,28,0,0
0,18,0,1,0,0,0,0,4,10,0,28,0,0,0,0,0,0,3,0,3,0,0,0,2,3,0,42,104,0,46,0,0
0,20,0,0,0,1,0,7,9,5,0,33,0,1,0,0,0,3,2,0,0,0,0,0,9,2,0,87,97,2,6,0,0
0,16,0,2,0,0,0,2,2,200,0,117,0,1,0,0,0,0,10,0,2,0,0,0,11,7,0,138,290,0,151,0,0
13,0,0,0,0,0,0,3,7,1,0,0,0,0,0,6,0,0,1,0,2,0,0,0,172,1,0,54,59,0,48,0,0
12,0,0,0,0,0,1,4,5,0,0,9,0,0,0,3,0,0,0,0,0,0,1,0,105,10,0,63,126,1,59,1,0
4,0,1,0,0,0,0,107,9,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,105,1,0,25,111,2,8,0,0
7,0,1,0,0,0,1,10,2,0,0,7,0,1,0,2,0,0,0,0,2,0,0,0,101,2,0,36,77,1,27,0,0
0,19,1,0,0,0,0,1,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,4,57,0,0
6,73,0,0,1,0,0,11,71,0,0,4,0,4,0,0,0,0,3,1,1,0,0,0,31,2,0,4,84,174,77,0,0
0,0,0,0,0,0,0,18,0,0,0,18,0,1,0,1,0,0,2,0,2,0,0,0,23,4,0,109,257,0,4,0,0
0,0,0,0,0,0,0,32,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,23,0,5,0,0
0,8,0,2,1,0,0,4,0,0,0,38,0,2,0,2,0,1,17,0,2,0,0,0,60,4,0,156,477,0,11,0,1
0,45,0,2,0,0,0,92,3,0,0,20,0,6,0,1,0,1,24,3,1,0,0,0,61,2,0,136,527,0,89,3,0
